"id","nom","conservation"
"135012","Pâté mexicain agneau","congelo"
"137003","Bambou tranché biologique","frigo"
"166009","Rillette de canard","frigo"
"181007","Sac officiel du Marché","tablette"
"183029","Boeuf haché maigre","congelo"
"184012","Certificat-cadeau","tablette"
"191011","Lait 1 litre (contenant verre inclus dans le prix)","frigo"
"193010","Don pour la Sécurité alimentaire","tablette"
"193025","Cubes à bouillir d'agneau","congelo"
"193030","SAUCISSE A LA BIÈRE (agneau)","congelo"
"194005","Savon/ BOIS DE ROSE ET NOIX DE COCO","tablette"
"194018","SAUCISSE MERGUEZ  (agneau)","congelo"
"194022","TOURTIÈRE AGNEAU ","congelo"
"196027","TERRINE D'agneau PORTO CANNEBERGES","congelo"
"198013","Savon/ LAVANDE ET CITRON","tablette"
"198022","Savon/ CALENDULE ET CAMOMILLE","tablette"
"200002","Viande hachée - agneau","congelo"
"200003","Lanières d'agneau","congelo"
"200006","SAUCISSE FINES HERBES  (agneau)","congelo"
"201005","Carré d'agneau","congelo"
"201006","Jarrets d'agneau (2)","congelo"
"201007","Rôti d'épaule d'agneau désossé","congelo"
"203001","Fondue chinoise agneau","congelo"
"206004","Chair à saucisse à la bière  (agneau)","congelo"
"207002","Chair à saucisse merguez (agneau)","congelo"
"209003","Chair à saucisse fines herbes  (agneau)","congelo"
"214015","Jus de canneberges sans sucre ajouté","congelo"
"214020","Jus de cassis sucré ","congelo"
"214024","Fondue chinoise d'autruche","congelo"
"214028","Shampooing à base d'huile d'autruche","tablette"
"214031","Baume à lèvres (lipsil) aux fraises","tablette"
"214035","Tartinade de Sureau","tablette"
"214038","Gigot d'agneau désossé","congelo"
"214041","Pain aux raisins (tranché en sac plastique)","tablette"
"215045","Jus de sureau sucré","congelo"
"215046","Tisane de thé du Labrador ","tablette"
"215047","Tartinade de Mûres  (agar)","tablette"
"215056"," Gigot d'agneau avec os","congelo"
"215060","Pain aux raisins (sac papier)","tablette"
"215061","Fougasse aux olives noires et fines herbes (sac papier)","tablette"
"216019","Jus d'Argousier sucré","congelo"
"216034","Saucisses d'autruche douce","congelo"
"216036","Smoked meat d'autruche","congelo"
"216038","Rôti de ronde","congelo"
"216042","Baume à lèvres (lipsil) à l'orange","tablette"
"216056","Pain baguette biologique (en sac papier)","tablette"
"216058","Pain belge blanc biologique (tranché en sac plastique)","tablette"
"216059","Pain carré blanc (tranché en sac plastique)","tablette"
"216064","Paninis biologiques (paquet de 4 en sac plastique)","tablette"
"217028","Bifteak d'autruche","congelo"
